From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q8C0M9	Q8C0M9	reviewed	ASGL1_MOUSE	Isoaspartyl peptidase/L-asparaginase (EC 3.4.19.5) (EC 3.5.1.1) (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain]	Asrgl1	Mus musculus (Mouse)	326
Q8C0N2	Q8C0N2	reviewed	GPAT3_MOUSE	Glycerol-3-phosphate acyltransferase 3 (GPAT-3) (EC 2.3.1.15) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 10) (AGPAT 10) (1-acyl-sn-glycerol-3-phosphate O-acyltransferase 9) (1-AGP acyltransferase 9) (1-AGPAT 9) (EC 2.3.1.51) (Acyl-CoA:glycerol-3-phosphate acyltransferase 3) (mGPAT3) (Lysophosphatidic acid acyltransferase theta) (LPAAT-theta)	Gpat3 Agpat9	Mus musculus (Mouse)	438
Q8C0P0	Q8C0P0	reviewed	GWL_MOUSE	Serine/threonine-protein kinase greatwall (GW) (GWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)	Mastl Gw Gwl	Mus musculus (Mouse)	865
Q8C0P5	Q8C0P5	reviewed	COR2A_MOUSE	Coronin-2A	Coro2a	Mus musculus (Mouse)	524
Q8C0P7	Q8C0P7	reviewed	ZN451_MOUSE	E3 SUMO-protein ligase ZNF451 (EC 2.3.2.-) (E3 SUMO-protein transferase ZNF451) (Zinc finger protein 451)	Znf451 Zfp451	Mus musculus (Mouse)	1056
Q8C0Q2	Q8C0Q2	reviewed	ZHX3_MOUSE	Zinc fingers and homeoboxes protein 3 (Triple homeobox protein 1) (Zinc finger and homeodomain protein 3)	Zhx3 Kiaa0395 Tix1	Mus musculus (Mouse)	951
Q8C0R0-2	Q8C0R0	reviewed	UBP37_MOUSE	Ubiquitin carboxyl-terminal hydrolase 37 (EC 3.4.19.12) (Deubiquitinating enzyme 37) (Ubiquitin thioesterase 37) (Ubiquitin-specific-processing protease 37)	Usp37 Kiaa1594	Mus musculus (Mouse)	979
Q8C0S1	Q8C0S1	reviewed	DI3L1_MOUSE	DIS3-like exonuclease 1 (EC 3.1.13.1)	Dis3l Kiaa1955	Mus musculus (Mouse)	1053
Q8C0T5	Q8C0T5	reviewed	SI1L1_MOUSE	Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1)	Sipa1l1 Kiaa0440	Mus musculus (Mouse)	1782
Q8C0V0	Q8C0V0	reviewed	TLK1_MOUSE	Serine/threonine-protein kinase tousled-like 1 (EC 2.7.11.1) (Tousled-like kinase 1)	Tlk1	Mus musculus (Mouse)	766
Q8C0Y0-2	Q8C0Y0	reviewed	PP4R4_MOUSE	Serine/threonine-protein phosphatase 4 regulatory subunit 4	Ppp4r4 Kiaa1622 Pp4r4	Mus musculus (Mouse)	875
Q8C0Y1	Q8C0Y1	reviewed	TGIF2_MOUSE	Homeobox protein TGIF2 (5'-TG-3'-interacting factor 2) (TGF-beta-induced transcription factor 2) (TGFB-induced factor 2)	Tgif2	Mus musculus (Mouse)	237
Q8C129	Q8C129	reviewed	LCAP_MOUSE	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Oxytocinase) (OTase)	Lnpep	Mus musculus (Mouse)	1025
Q8C142	Q8C142	reviewed	ARH_MOUSE	Low density lipoprotein receptor adapter protein 1 (Autosomal recessive hypercholesterolemia protein homolog)	Ldlrap1 Arh	Mus musculus (Mouse)	308
Q8C145	Q8C145	reviewed	S39A6_MOUSE	Zinc transporter ZIP6 (Endoplasmic reticulum membrane-linked protein) (Ermelin) (Solute carrier family 39 member 6) (Zrt- and Irt-like protein 6) (ZIP-6)	Slc39a6 Zip6	Mus musculus (Mouse)	765
Q8C147	Q8C147	reviewed	DOCK8_MOUSE	Dedicator of cytokinesis protein 8	Dock8	Mus musculus (Mouse)	2100
Q8C156	Q8C156	reviewed	CND2_MOUSE	Condensin complex subunit 2 (Barren homolog protein 1) (Chromosome-associated protein H) (mCAP-H) (Non-SMC condensin I complex subunit H) (XCAP-H homolog)	Ncaph Brrn Brrn1 Caph	Mus musculus (Mouse)	731
Q8C163	Q8C163	reviewed	EXOG_MOUSE	Nuclease EXOG, mitochondrial (EC 3.1.30.-) (Endonuclease G-like 1) (Endo G-like 1)	Exog Endogl1	Mus musculus (Mouse)	368
Q8C166	Q8C166	reviewed	CPNE1_MOUSE	Copine-1 (Copine I)	Cpne1	Mus musculus (Mouse)	536
Q8C167-2	Q8C167	reviewed	PPCEL_MOUSE	Prolyl endopeptidase-like (EC 3.4.21.-) (Prolylendopeptidase-like)	Prepl Kiaa0436	Mus musculus (Mouse)	725
Q8C170-2	Q8C170	reviewed	MYO9A_MOUSE	Unconventional myosin-IXa (Unconventional myosin-9a)	Myo9a Myr7	Mus musculus (Mouse)	2542
Q8C181-2	Q8C181	reviewed	MBNL2_MOUSE	Muscleblind-like protein 2	Mbnl2 Kiaa4072	Mus musculus (Mouse)	373
Q8C1A3	Q8C1A3	reviewed	MTRR_MOUSE	Methionine synthase reductase (MSR) (EC 1.16.1.8) (Aquacobalamin reductase) (AqCbl reductase)	Mtrr	Mus musculus (Mouse)	696
Q8C1A9	Q8C1A9	reviewed	ABD18_MOUSE	Protein ABHD18 (Alpha/beta hydrolase domain-containing protein 18) (Abhydrolase domain-containing protein 18)	Abhd18	Mus musculus (Mouse)	464
Q8C1B1-2	Q8C1B1	reviewed	CAMP2_MOUSE	Calmodulin-regulated spectrin-associated protein 2 (Calmodulin-regulated spectrin-associated protein 1-like protein 1)	Camsap2 Camsap1l1 Kiaa1078	Mus musculus (Mouse)	1461
Q8C1B7-2	Q8C1B7	reviewed	SEP11_MOUSE	Septin-11	Septin11 D5Ertd606e Sept11	Mus musculus (Mouse)	431
Q8C1D8	Q8C1D8	reviewed	IWS1_MOUSE	Protein IWS1 homolog (IWS1-like protein)	Iws1 Iws1l	Mus musculus (Mouse)	766
Q8C1E7	Q8C1E7	reviewed	TACAN_MOUSE	Transmembrane protein 120A (Ion channel TACAN)	Tmem120a Net29 Tacan	Mus musculus (Mouse)	343
Q8C1F4	Q8C1F4	reviewed	CGAT2_MOUSE	Chondroitin sulfate N-acetylgalactosaminyltransferase 2 (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2) (Beta4GalNAcT-2) (GalNAcT-2)	Csgalnact2 Chgn2 Galnact2	Mus musculus (Mouse)	542
Q8C1M2	Q8C1M2	reviewed	ZN428_MOUSE	Zinc finger protein 428	Znf428 Zfp428	Mus musculus (Mouse)	176
Q8C1S0	Q8C1S0	reviewed	MED19_MOUSE	Mediator of RNA polymerase II transcription subunit 19 (Mediator complex subunit 19)	Med19	Mus musculus (Mouse)	244
Q8C1W1	Q8C1W1	reviewed	VASH1_MOUSE	Tubulinyl-Tyr carboxypeptidase 1 (EC 3.4.17.17) (Tyrosine carboxypeptidase 1) (TTCP 1) (Vasohibin-1)	Vash1 Vash	Mus musculus (Mouse)	375
Q8C1Y8	Q8C1Y8	reviewed	CCZ1_MOUSE	Vacuolar fusion protein CCZ1 homolog	Ccz1	Mus musculus (Mouse)	480
Q8C263	Q8C263	reviewed	SKA3_MOUSE	SKA complex subunit 3 (Spindle and kinetochore-associated protein 3)	Ska3 Rama1	Mus musculus (Mouse)	411
Q8C267	Q8C267	reviewed	SETB2_MOUSE	Histone-lysine N-methyltransferase SETDB2 (EC 2.1.1.366) (SET domain bifurcated 2)	Setdb2 Gm293	Mus musculus (Mouse)	713
Q8C2A2	Q8C2A2	reviewed	SEN54_MOUSE	tRNA-splicing endonuclease subunit Sen54 (tRNA-intron endonuclease Sen54)	Tsen54 Sen54	Mus musculus (Mouse)	525
Q8C2B3-2	Q8C2B3	reviewed	HDAC7_MOUSE	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a) (Protein deacetylase HDAC7) (EC 3.5.1.-)	Hdac7 Hdac7a	Mus musculus (Mouse)	938
Q8C2E4	Q8C2E4	reviewed	PTCD1_MOUSE	Pentatricopeptide repeat-containing protein 1, mitochondrial	Ptcd1	Mus musculus (Mouse)	695
Q8C2E7	Q8C2E7	reviewed	WASC5_MOUSE	WASH complex subunit 5 (WASH complex subunit strumpellin)	Washc5 Kiaa0196	Mus musculus (Mouse)	1159
Q8C2K1	Q8C2K1	reviewed	DEFI6_MOUSE	Differentially expressed in FDCP 6 (DEF-6) (IRF4-binding protein) (SWAP-70-like adapter of T-cells)	Def6 Ibp Slat	Mus musculus (Mouse)	630
Q8C2L6	Q8C2L6	reviewed	T161B_MOUSE	Transmembrane protein 161B	Tmem161b	Mus musculus (Mouse)	487
Q8C2P3	Q8C2P3	reviewed	DUS1L_MOUSE	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like (EC 1.3.1.88) (tRNA-dihydrouridine synthase 1-like)	Dus1l	Mus musculus (Mouse)	475
Q8C2Q3	Q8C2Q3	reviewed	RBM14_MOUSE	RNA-binding protein 14 (RNA-binding motif protein 14)	Rbm14	Mus musculus (Mouse)	669
Q8C2Q8	Q8C2Q8	unreviewed	Q8C2Q8_MOUSE	ATP synthase subunit gamma	Atp5f1c Atp5c1	Mus musculus (Mouse)	274
Q8C2R7	Q8C2R7	reviewed	PIGM_MOUSE	GPI alpha-1,4-mannosyltransferase I, catalytic subunit (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M)	Pigm	Mus musculus (Mouse)	423
Q8C3B8	Q8C3B8	reviewed	RFT1_MOUSE	Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1 (Protein RFT1 homolog)	Rft1	Mus musculus (Mouse)	541
Q8C3F2	Q8C3F2	reviewed	F120C_MOUSE	Constitutive coactivator of PPAR-gamma-like protein 2 (Protein FAM120C)	Fam120c ORF34	Mus musculus (Mouse)	1091
Q8C3I8	Q8C3I8	reviewed	HGH1_MOUSE	Protein HGH1 homolog	Hgh1 Brp16 Fam203a MNCb-5873	Mus musculus (Mouse)	393
Q8C3J5	Q8C3J5	reviewed	DOCK2_MOUSE	Dedicator of cytokinesis protein 2 (Protein Hch)	Dock2	Mus musculus (Mouse)	1828
Q8C3P7	Q8C3P7	reviewed	MTA70_MOUSE	N(6)-adenosine-methyltransferase catalytic subunit METTL3 (EC 2.1.1.348) (Methyltransferase-like protein 3) (N(6)-adenosine-methyltransferase 70 kDa subunit) (MT-A70)	Mettl3 Mta70	Mus musculus (Mouse)	580
Q8C3R1	Q8C3R1	reviewed	BRAT1_MOUSE	Integrator complex assembly factor BRAT1 (BRCA1-associated ATM activator 1) (BRCA1-associated protein required for ATM activation protein 1)	Brat1 Baat1	Mus musculus (Mouse)	822
Q8C3S2-2	Q8C3S2	reviewed	TNG6_MOUSE	Transport and Golgi organization protein 6 homolog (Transmembrane and coiled-coil domain-containing protein 7)	Tango6 Kiaa1746 Tmco7	Mus musculus (Mouse)	1079
Q8C3W1	Q8C3W1	reviewed	CA198_MOUSE	Uncharacterized protein C1orf198 homolog		Mus musculus (Mouse)	322
Q8C3X4	Q8C3X4	reviewed	GUF1_MOUSE	Translation factor Guf1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase Guf1) (Ribosomal back-translocase)	Guf1	Mus musculus (Mouse)	651
Q8C3X8	Q8C3X8	reviewed	LMF2_MOUSE	Lipase maturation factor 2 (Transmembrane protein 112B) (Transmembrane protein 153)	Lmf2 Tmem112b Tmem153	Mus musculus (Mouse)	702
Q8C3Y4	Q8C3Y4	reviewed	KNTC1_MOUSE	Kinetochore-associated protein 1	Kntc1 Kiaa0166	Mus musculus (Mouse)	2207
Q8C407-2	Q8C407	reviewed	YIPF4_MOUSE	Protein YIPF4 (YIP1 family member 4)	Yipf4	Mus musculus (Mouse)	246
Q8C436	Q8C436	reviewed	MT21D_MOUSE	Protein N-lysine methyltransferase METTL21D (EC 2.1.1.-) (Methyltransferase-like protein 21D) (VCP lysine methyltransferase) (VCP-KMT) (Valosin-containing protein lysine methyltransferase)	Vcpkmt Gm71 Mettl21d	Mus musculus (Mouse)	228
Q8C460-2	Q8C460	reviewed	ERI3_MOUSE	ERI1 exoribonuclease 3 (EC 3.1.-.-) (Prion interactor 1) (Prion protein-interacting protein)	Eri3 Pint1 Prnpip Prnpip1	Mus musculus (Mouse)	337
Q8C4B4	Q8C4B4	reviewed	U119B_MOUSE	Protein unc-119 homolog B	Unc119b	Mus musculus (Mouse)	251
Q8C4J7	Q8C4J7	reviewed	TBL3_MOUSE	Transducin beta-like protein 3	Tbl3	Mus musculus (Mouse)	801
Q8C4M7	Q8C4M7	reviewed	CENPU_MOUSE	Centromere protein U (CENP-U) (MLF1-interacting protein)	Cenpu Mlf1ip	Mus musculus (Mouse)	410
Q8C4Q6	Q8C4Q6	reviewed	AIDA_MOUSE	Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)	Aida	Mus musculus (Mouse)	305
Q8C4Y3-3	Q8C4Y3	reviewed	NELFB_MOUSE	Negative elongation factor B (NELF-B) (Cofactor of BRCA1)	Nelfb Cobra1 MNCb-5210	Mus musculus (Mouse)	580
Q8C522	Q8C522	reviewed	ENDD1_MOUSE	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	Endod1 Kiaa0830	Mus musculus (Mouse)	501
Q8C547	Q8C547	reviewed	HTR5B_MOUSE	HEAT repeat-containing protein 5B	Heatr5b Kiaa1414	Mus musculus (Mouse)	2070
Q8C551	Q8C551	reviewed	R51A1_MOUSE	RAD51-associated protein 1 (RAB22)	Rad51ap1	Mus musculus (Mouse)	337
Q8C552	Q8C552	reviewed	FA78A_MOUSE	Protein FAM78A	Fam78a	Mus musculus (Mouse)	283
Q8C561-2	Q8C561	reviewed	LMBD2_MOUSE	G-protein coupled receptor-associated protein LMBRD2 (LMBR1 domain-containing protein 2)	Lmbrd2	Mus musculus (Mouse)	694
Q8C569	Q8C569	reviewed	F118B_MOUSE	Protein FAM118B	Fam118b	Mus musculus (Mouse)	351
Q8C570	Q8C570	reviewed	RAE1L_MOUSE	mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)	Rae1 Mrnp41	Mus musculus (Mouse)	368
Q8C5D8-2	Q8C5D8	reviewed	PIAS2_MOUSE	E3 SUMO-protein ligase PIAS2 (EC 2.3.2.27) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (Msx-interacting zinc finger protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2) (RING-type E3 ubiquitin transferase PIAS2)	Pias2 Miz1 Piasx	Mus musculus (Mouse)	621
Q8C5H8	Q8C5H8	reviewed	NADK2_MOUSE	NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)	Nadk2 Mnadk Nadkd1	Mus musculus (Mouse)	452
Q8C5H8-2	Q8C5H8	reviewed	NADK2_MOUSE	NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)	Nadk2 Mnadk Nadkd1	Mus musculus (Mouse)	452
Q8C5K5	Q8C5K5	reviewed	CX038_MOUSE	Uncharacterized protein CXorf38 homolog		Mus musculus (Mouse)	320
Q8C5L3-2	Q8C5L3	reviewed	CNOT2_MOUSE	CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2)	Cnot2	Mus musculus (Mouse)	540
Q8C5L6	Q8C5L6	reviewed	INP5K_MOUSE	Inositol polyphosphate 5-phosphatase K (EC 3.1.3.56) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86) (Phosphatidylinositol-4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Skeletal muscle and kidney-enriched inositol phosphatase)	Inpp5k Pps Skip	Mus musculus (Mouse)	468
Q8C5L7	Q8C5L7	reviewed	RBM34_MOUSE	RNA-binding protein 34 (RNA-binding motif protein 34)	Rbm34 D8Ertd233e	Mus musculus (Mouse)	442
Q8C5N3-2	Q8C5N3	reviewed	CWC22_MOUSE	Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog)	Cwc22 Ncm	Mus musculus (Mouse)	908
Q8C5P5-2	Q8C5P5	reviewed	NT5D1_MOUSE	5'-nucleotidase domain-containing protein 1 (EC 3.1.3.-) (Cytosolic 5'-nucleotidase II-like protein 1)	Nt5dc1 Nt5c2l1	Mus musculus (Mouse)	467
Q8C5P7	Q8C5P7	reviewed	TDRP_MOUSE	Testis development-related protein	Tdrp	Mus musculus (Mouse)	182
Q8C5Q4	Q8C5Q4	reviewed	GRSF1_MOUSE	G-rich sequence factor 1 (GRSF-1)	Grsf1	Mus musculus (Mouse)	479
Q8C5W3-2	Q8C5W3	reviewed	TBCEL_MOUSE	Tubulin-specific chaperone cofactor E-like protein (Leucine-rich repeat-containing protein 35)	Tbcel Lrrc35	Mus musculus (Mouse)	424
Q8C5X1	Q8C5X1	unreviewed	Q8C5X1_MOUSE	Granule associated Rac and RHOG effector 1	Garre1 4931406P16Rik	Mus musculus (Mouse)	1059
Q8C6B0	Q8C6B0	unreviewed	Q8C6B0_MOUSE	Methyltransferase like 7A1 (Thiol methyltransferase 1A1)	Tmt1a Mettl7a Mettl7a1	Mus musculus (Mouse)	244
Q8C6B2-2	Q8C6B2	reviewed	RTKN_MOUSE	Rhotekin	Rtkn	Mus musculus (Mouse)	564
Q8C6B9	Q8C6B9	reviewed	AROS_MOUSE	Active regulator of SIRT1 (40S ribosomal protein S19-binding protein 1) (RPS19-binding protein 1) (S19BP)	Rps19bp1 Aros	Mus musculus (Mouse)	143
Q8C6E0	Q8C6E0	reviewed	CFA36_MOUSE	Cilia- and flagella-associated protein 36 (Coiled-coil domain-containing protein 104)	Cfap36 Ccdc104	Mus musculus (Mouse)	343
Q8C6G1	Q8C6G1	reviewed	CF410_MOUSE	Cilia- and flagella-associated protein 410	Cfap410	Mus musculus (Mouse)	249
Q8C6L5	Q8C6L5	reviewed	CGAS_MOUSE	Cyclic GMP-AMP synthase (cGAMP synthase) (cGAS) (m-cGAS) (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1)	Cgas Mb21d1	Mus musculus (Mouse)	507
Q8C6U2	Q8C6U2	reviewed	S66A3_MOUSE	Solute carrier family 66 member 3 (PQ-loop repeat-containing protein 3)	Slc66a3 Pqlc3	Mus musculus (Mouse)	202
Q8C708	Q8C708	reviewed	CP054_MOUSE	Transmembrane protein C16orf54 homolog		Mus musculus (Mouse)	225
Q8C726	Q8C726	reviewed	BTBD9_MOUSE	BTB/POZ domain-containing protein 9	Btbd9	Mus musculus (Mouse)	612
Q8C729-2	Q8C729	reviewed	HYCC2_MOUSE	Hyccin 2	Hycc2 D1Ertd53e Fam126b	Mus musculus (Mouse)	530
Q8C735-2	Q8C735	reviewed	LIN9_MOUSE	Protein lin-9 homolog (mLin-9) (TUDOR gene similar 1 protein) (Type I interferon receptor beta chain-associated protein)	Lin9 Bara Tgs1	Mus musculus (Mouse)	542
Q8C754	Q8C754	reviewed	VPS52_MOUSE	Vacuolar protein sorting-associated protein 52 homolog	Vps52	Mus musculus (Mouse)	723
Q8C761	Q8C761	reviewed	DC2I1_MOUSE	Cytoplasmic dynein 2 intermediate chain 1 (Dynein 2 intermediate chain 1) (WD repeat-containing protein 60)	Dync2i1 Wdr60	Mus musculus (Mouse)	999
Q8C779-2	Q8C779	reviewed	RADX_MOUSE	RPA-related protein RADX	Radx	Mus musculus (Mouse)	850
Q8C788	Q8C788	unreviewed	Q8C788_MOUSE	Sorting nexin	Snx18 Snag1	Mus musculus (Mouse)	615
Q8C796	Q8C796	reviewed	RCOR2_MOUSE	REST corepressor 2 (M-CoREST)	Rcor2	Mus musculus (Mouse)	523
Q8C7D2-2	Q8C7D2	reviewed	CRBN_MOUSE	Protein cereblon (Protein PiL)	Crbn	Mus musculus (Mouse)	445
Q8C7H1	Q8C7H1	reviewed	MMAA_MOUSE	Methylmalonic aciduria type A homolog, mitochondrial (EC 3.6.-.-)	Mmaa	Mus musculus (Mouse)	415
Q8C7K6	Q8C7K6	reviewed	PCYXL_MOUSE	Prenylcysteine oxidase 1-like (EC 1.8.3.-)	Pcyox1l	Mus musculus (Mouse)	495
Q8C7R4	Q8C7R4	reviewed	UBA6_MOUSE	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	Uba6 Ube1l2	Mus musculus (Mouse)	1053
Q8C7U7	Q8C7U7	reviewed	GALT6_MOUSE	Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6)	Galnt6	Mus musculus (Mouse)	622
Q8C7V3	Q8C7V3	reviewed	UTP15_MOUSE	U3 small nucleolar RNA-associated protein 15 homolog (Src-associated protein SAW)	Utp15	Mus musculus (Mouse)	528
Q8C7V8-2	Q8C7V8	reviewed	CC134_MOUSE	Coiled-coil domain-containing protein 134	Ccdc134	Mus musculus (Mouse)	229
Q8C7X2-2	Q8C7X2	reviewed	EMC1_MOUSE	ER membrane protein complex subunit 1	Emc1 Kiaa0090	Mus musculus (Mouse)	997
Q8C804	Q8C804	reviewed	SPICE_MOUSE	Spindle and centriole-associated protein 1 (Coiled-coil domain-containing protein 52)	Spice1 Ccdc52 D16Ertd480e	Mus musculus (Mouse)	860
Q8C827-2	Q8C827	reviewed	ZFP62_MOUSE	Zinc finger protein 62 (Zfp-62) (ZT3)	Zfp62	Mus musculus (Mouse)	914
Q8C845	Q8C845	unreviewed	Q8C845_MOUSE	EF hand domain containing 2 (Efhd2 protein)	Efhd2	Mus musculus (Mouse)	240
Q8C854	Q8C854	reviewed	MYEF2_MOUSE	Myelin expression factor 2 (MEF-2) (MyEF-2)	Myef2 Kiaa1341 Mef2	Mus musculus (Mouse)	591
Q8C863	Q8C863	reviewed	ITCH_MOUSE	E3 ubiquitin-protein ligase Itchy (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase Itchy homolog)	Itch	Mus musculus (Mouse)	864
Q8C878	Q8C878	reviewed	UBA3_MOUSE	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3)	Uba3 Ube1c	Mus musculus (Mouse)	462
Q8C8M1	Q8C8M1	reviewed	SHCAF_MOUSE	SIN3-HDAC complex-associated factor (Protein FAM60A) (Tera protein)	Sinhcaf Fam60a Tera	Mus musculus (Mouse)	221
Q8C8R3-2	Q8C8R3	reviewed	ANK2_MOUSE	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin)	Ank2 AnkB	Mus musculus (Mouse)	3898
Q8C8U0	Q8C8U0	reviewed	LIPB1_MOUSE	Liprin-beta-1 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein-binding protein 1) (PTPRF-interacting protein-binding protein 1)	Ppfibp1 Kiaa1230	Mus musculus (Mouse)	969
Q8C9A2-1	Q8C9A2	reviewed	ENDOV_MOUSE	Endonuclease V (EC 3.1.26.-)	Endov	Mus musculus (Mouse)	338
Q8C9B9	Q8C9B9	reviewed	DIDO1_MOUSE	Death-inducer obliterator 1 (DIO-1) (Death-associated transcription factor 1) (DATF-1)	Dido1 Datf1 Dio1	Mus musculus (Mouse)	2256
Q8C9M2-2	Q8C9M2	reviewed	CCD15_MOUSE	Coiled-coil domain-containing protein 15	Ccdc15	Mus musculus (Mouse)	810
Q8C9S4	Q8C9S4	reviewed	CC186_MOUSE	Coiled-coil domain-containing protein 186 (Oocyte-testis gene 1 protein)	Ccdc186 Otg1	Mus musculus (Mouse)	917
Q8C9S8	Q8C9S8	reviewed	ATG4A_MOUSE	Cysteine protease ATG4A (EC 3.4.22.-) (AUT-like 2 cysteine endopeptidase) (Autophagy-related cysteine endopeptidase 2) (Autophagin-2) (Autophagy-related protein 4 homolog A)	Atg4a Apg4a Autl2	Mus musculus (Mouse)	396
Q8C9X6-2	Q8C9X6	reviewed	EPC1_MOUSE	Enhancer of polycomb homolog 1	Epc1	Mus musculus (Mouse)	813
Q8CA72	Q8CA72	reviewed	GAN_MOUSE	Gigaxonin	Gan	Mus musculus (Mouse)	597
Q8CAA7	Q8CAA7	reviewed	PGM2L_MOUSE	Glucose 1,6-bisphosphate synthase (EC 2.7.1.106) (Phosphoglucomutase-2-like 1)	Pgm2l1	Mus musculus (Mouse)	621
Q8CAB8	Q8CAB8	reviewed	CAST2_MOUSE	Cytosolic arginine sensor for mTORC1 subunit 2 (GATS-like protein 2)	Castor2 Gats Gatsl2	Mus musculus (Mouse)	329
Q8CAD1	Q8CAD1	unreviewed	Q8CAD1_MOUSE	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Araf	Mus musculus (Mouse)	186
Q8CAK1	Q8CAK1	reviewed	CAF17_MOUSE	Iron-sulfur cluster assembly factor IBA57, mitochondrial (Iron-sulfur cluster assembly factor homolog)	Iba57	Mus musculus (Mouse)	358
Q8CAK3	Q8CAK3	reviewed	SHFL_MOUSE	Shiftless antiviral inhibitor of ribosomal frameshifting protein homolog (SHFL) (Repressor of yield of DENV protein homolog) (RyDEN)	Shfl Ryden	Mus musculus (Mouse)	290
Q8CAQ8-2	Q8CAQ8	reviewed	MIC60_MOUSE	MICOS complex subunit Mic60 (Mitochondrial inner membrane protein) (Mitofilin)	Immt Mic60	Mus musculus (Mouse)	757
Q8CAQ8-5	Q8CAQ8	reviewed	MIC60_MOUSE	MICOS complex subunit Mic60 (Mitochondrial inner membrane protein) (Mitofilin)	Immt Mic60	Mus musculus (Mouse)	757
Q8CAS3	Q8CAS3	unreviewed	Q8CAS3_MOUSE	Cyclin-C	Ccnc	Mus musculus (Mouse)	282
Q8CAS9-2	Q8CAS9	reviewed	PARP9_MOUSE	Protein mono-ADP-ribosyltransferase PARP9 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 9) (ARTD9) (B aggressive lymphoma protein homolog) (Poly [ADP-ribose] polymerase 9) (PARP-9)	Parp9 Bal	Mus musculus (Mouse)	866
Q8CAV0	Q8CAV0	reviewed	YBEY_MOUSE	Endoribonuclease YbeY (EC 3.1.-.-)	Ybey	Mus musculus (Mouse)	164
Q8CAY6	Q8CAY6	reviewed	THIC_MOUSE	Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Cytosolic acetoacetyl-CoA thiolase)	Acat2	Mus musculus (Mouse)	397
Q8CB44	Q8CB44	reviewed	GRAM4_MOUSE	GRAM domain-containing protein 4 (Death-inducing protein)	Gramd4 Dip Kiaa0767	Mus musculus (Mouse)	633
Q8CB77	Q8CB77	reviewed	ELOA1_MOUSE	Elongin-A (EloA) (Elongin 110 kDa subunit) (RNA polymerase II transcription factor SIII subunit A1) (SIII p110) (Transcription elongation factor B polypeptide 3)	Eloa Tceb3	Mus musculus (Mouse)	773
Q8CB87	Q8CB87	reviewed	RAB44_MOUSE	Ras-related protein Rab-44	Rab44	Mus musculus (Mouse)	973
Q8CBA2	Q8CBA2	reviewed	SLFN5_MOUSE	Schlafen family member 5	Slfn5	Mus musculus (Mouse)	884
